公司代碼,工作代碼,工作名稱,工資待遇,工資待遇(最低),工資待遇(最高),工作性質,工作敘述,需求人數,經驗要求,學歷要求,科系要求,語文條件,語言能力,擅長工具,工作技能,其他條件,應徵人數,經度,緯度
abdz5yx,6mq2z,專員(大數據),"月薪28,000~35,000元",28000,35000,資料輸入人員/其他客戶服務人員/行政人員,1.協助校正語音文字資料，協助整理其他聲音及文字資料。/2.協助處理專案相關事宜/3.需具備中文聽打能力，每分鐘60個字以上；具備英文聽打能力加分。/,2~3人,不拘,大學以上,,None,None,,,,0~5人應徵,121.5152669,24.992605
cv11cj4,703rp,數據分析師-總經理室,待遇面議,0,0,電腦系統分析師/演算法開發工程師/Internet程式設計師,1.數據相關專案規劃、管理與執行。/2.因應公司戰略營運方針進行相關規劃及與跨部門溝通協調達成目標。/3.以數據之規劃與管理進行電子商務運營及行銷專案整合，及跨境電商運營規劃與執行。/4.用數據驅動的方式發展出貼近業務需求的分析模組，並將數據自動化呈現。 ,1人,3年以上,大學以上,一般商業學類/資訊管理相關/數理統計相關,None,None,Python/R/Tableau,,1. 具有BI或GA數據/電子商務/品牌行銷/會員經營等相關專案策略規劃執行經驗  2. 具以上類型專案具獨立研礙推動計劃之提案與執行能力 3. 數據成效導向思考，具專案管理經驗 4. 具備數據自動化的經驗,30人以上應徵,121.581311,25.0501682
2hevrao,6sqki,數據工程師 (Data Engineer),"月薪36,000~60,000元",36000,60000,電腦系統分析師/資料庫管理人員/軟體設計工程師,我們需要熱情有想法的好手，一同加入數據團隊，打造完整的數據生態系，從底層資料處理、整合到數據分析、呈現，提供業務應用決策，並將數據驅動視為最終目標。/此職缺工作內容執行企業內部資料交換平台，進行資料流掌控與維運，需要開發的能力，內容包含：//1.	資料庫管理維運、SQL使用開發/2.	資料交換平台(ETL、ESB)執行開發、監控、維運/3.	數據服務API、數據應用開發建置/4.	電商GA、GTM、軌跡收集系統等整合開發維護/5.     Talend平台工具使用//上述將與團隊成員共同進行，想學習、想挑戰、對數據有想像的新手/好手，歡迎加入!,1人,不拘,專科以上,資訊管理相關/資訊工程相關/統計學相關,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,C#/Python/R/MS SQL/JavaScript/Power BI​,資料庫程式設計/資料庫軟體應用,1.	資料庫管理、SQL語法有基礎 2.	對GA、GTM、網站埋code (JS) 有使用經驗 3.	具ETL(Talend)、ESB、API Service開發者優先考慮 4.	有BI(POWER BI)工具、數位軌跡運用、推薦模型等開發經驗佳 5.	邏輯思維佳、對數據具高度敏感性、對服飾產業有興趣 6.	主動積極、細心、樂觀。,11~30人應徵,121.5904515,25.0523383
7mmueb6,6a27l,大數據工程師(POD00),待遇面議,0,0,軟體設計工程師,工作內容：/以集團內部之電商資料，進行資料處理、資料分析，並持續完善現有的資料倉儲、資料超市，以支援業務需求。/專案類型多元，根據不同專案，會接觸到模型設計、指標設計、成效分析乃至整個 Data pipeline 的設計與串接。//擅長工具：/擅長 Python & PySpark 或 Java & MapReduce/熟悉SQL,1人,1年以上,大學以上,資訊工程相關/數理統計相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,Java/Python,,－ 具1年以上，相關工作經驗。 － 具大數據分析與統計經驗。 － 熟 data mining。 － 熟 Machine Learning 佳。 － 熟 hadoop 及 hadoop ecosystem 加分。 － 熟 任意雲端服務佳。 － 熟 Lucene / Solr / Elasticsearch 佳。 － 熟 NoSQL 佳。 － 有電商經驗 佳。,11~30人應徵,121.5491655,25.0284385
1a2x6bi257,3x1j9,Data Processing Specialist 數據處理專員,"月薪45,000~80,000元",45000,80000,券商後線人員/統計精算人員/稽核人員,/團隊介紹 /客服團隊在核聚集團扮演關鍵性角色，不僅是集團面對客戶最前線的人員，以熱誠、專業的態度將服務、資訊傳達給客戶，更是客戶的諮詢顧問，運用自身專業經驗，站在客戶立場、整合集團的力量滿足客戶的需求。 //客服團隊主要服務集團ESOP/ESPP（Employee Stock Option Plan / Employee Stock Purchase Plan）的客戶。ESOP/ESPP為歐美企業施行多年的員工激勵計畫，運用員工認股等方式來吸引優秀人才，並且激勵、留任員工。客服團隊的任務是解決企業客戶及其員工執行ESOP/ESPP時遇到的問題、處理系統後臺數據，與整合集團各部門以滿足客戶提出的需求。此外，客服團隊還需負責培訓，教導企業客戶及其員工如何使用核聚集團的線上平台管理ESOP/ESPP。 //核聚集團是跨國金融科技（FinTech）企業，加入我們的客服團隊，您將與來自不同國家的菁英合作，共同在國際FinTech領域茁壯成長。若您有服務的熱誠，並具有優秀的邏輯思考能力，我們誠摯地歡迎您加入核聚集團的客服團隊。 //工作內容/1. 協助客服部門確認其作業流程符合作業規範之要求/2. 判斷專案流程中的問題點並提出解決方案/3. 協助公司專案資料庫的建立與維護/4. 主動提出作業流程及功能改善方案並追蹤執行進度/5. 在專案系統需修正時，主導並協調不同部門間的意見/6. 擔任開發部門、市場行銷部、公司和客戶服務部的溝通協調中心。///,1~2人,3年以上,大學以上,商業及管理學科類/經濟學相關/數學及電算機科學學科類,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,Excel/Internet Explorer/Word,,1. 大學(含)以上，財金、商學等相關科系畢 2. 3年以上金融業中後台作業處理經驗 3. 熟悉辦公室軟體（如: word、excel、project等）操作 4. 敏銳的觀察力，較強的解決問題能力 5. 具備基本的商用英文溝通能力 6. 良好的文字表達能力 7. 有耐心、反應靈敏、溝通協調能力佳、抗壓性強、主動積極、掌控時效,11~30人應徵,121.560094,25.034368
d2jm3yw,71vo2,數據營銷經/副理,待遇面議,0,0,行銷企劃主管/廣告企劃主管/品牌宣傳及媒體公關人員／主管,"1.行銷企劃：與運營單位溝通，了解產品屬性，擬定行銷策略及廣告投放策略，協助運營單位提升效益。
2.市場研究：使用者行為數據分析、追蹤並統計市場數據，分析並提出成長關鍵因子，協助優化產品，幫助產品持續成長。
3.數位行銷：經營社群媒體、撰寫文案、設計活動，刺激用戶活躍度與黏著度。
4.形象經營：媒體雜誌形象宣傳及新聞稿撰寫。",1人,4年以上,專科以上,,None,None,,行銷宣傳預算編製與控管/行銷策略擬定/品牌知名度推廣/廣告預算控管/社群媒體經營管理/市場調查企劃與執行/網站流量成效追蹤,,6~10人應徵,121.5758522,25.0723653
1a2x6blafo,70m11,金融數據統計人員Data Statistics ,"月薪35,000~42,000元",35000,42000,金融研究員/統計精算人員/券商後線人員,"1、從數據庫撈取公司業績數據，統計日常報告。
2、依據業務擴張與後台設置變更，設計或調整EXCEL報告模板以及手動更新SQL、最終整理發給需求方。
3、熟悉MYSQL和Excel者，對於python有經驗加分。
4、其他主管交辦事項，例如數據庫日報數據核對, 一些簡單的需求統計報告等。

※此崗位短期內以統計每天業績報告為主，中長期會接觸到集團各部門的需求統計工作，不會碰到機器學習或是建立預測模型等面向
",2人,不拘,大學以上,數學及電算機科學學科類/經濟學相關/統計學相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,Python/MySQL/Adobe Acrobat/Excel/Outlook/Word/中文打字20~50/英文打字20~50,,1、⼈格特質： 細⼼、負責任、有良好的團隊合作精神。 2、舉⼀反三反應能力佳、邏輯清晰。 3、對⾦融投資平台有興趣。 4、熟悉EXCEL函數。,11~30人應徵,121.5637919,25.0513727
1a2x6bjv6v,6dhbo,數據計量分析研究員,"月薪38,000元以上",38000,9999999,統計精算人員/資料庫管理人員/軟體設計工程師,>>資料庫資料篩選/抓取/串接/- 研發系統化交易策略，操作金融衍生品商品，著重於運用資訊處理技術與統計方法來執行演算法自動交易。/- 處理（包括validate，clean，normalize，reduce dimension）大量data sets以利於建構預測模型。//>>動態網站開發/更新/維護運作/網頁技術串接API/- 利用統計方法辨識市場特微、型態、相互關係來建構預測模型。/- 金融衍生性結構產品定價（Structure Product)/ 建模（Factor Model）/- 風險管理（Risk management）/ 價值計算（Valuation calculation）,1~2人,1年以上,大學、碩士,資訊工程相關/銀行保險相關/物理學相關,None,None,Linux/Java/Python/MySQL/Vmware/JavaScript/C++.Net/C++,建立統計精算模型/軟體程式設計/使用者介面設計/網頁語法撰寫/資料庫程式設計,"1.分析與計量分析能力強,能處理并運用大數據進行獨立研究。 2.能使用以下編程語言（熟悉一種以上）：C++、Java、Python、JavaScript 3.熟軟體工程系統開發、資料庫系統管理維護、資料庫程式設計 ------------以下是加分---------- +開源項目、框架或者系統設計 +團隊合作精神佳 +具備以下理論與實務/專案技術經驗者優先錄取：Regression、Classification、Machine Learning、Time series、Deep Learning",0~5人應徵,121.5656573,25.041291
5ucjyv4,72q6p,數據分析師(APP),"月薪32,000~60,000元",32000,60000,市場調查／市場分析/統計精算人員,"**應徵時請附上Cover Letter(自薦信)、自傳** 
1. 根據營運需求建構預測模型
2. 執行需求及數據分析
3. 提供資訊視覺化及說明分析
4. 蒐集競業資訊、報表整理
5. 跨部門溝通協調",2人,2年以上,大學以上,數理統計相關/統計學相關,None,None,Python/R/MS SQL/Excel/Tableau/Power BI​,,【工作條件】 需具備 Tableau、Tableau Prep使用能力 需熟悉 Tableau或POWER BI 具備熟悉SQL及Excel  具備R或Python能力尤佳,0~5人應徵,120.5886845,24.1735864
b64m6g0,6u86h,大數據分析師,待遇面議,0,0,統計精算人員/電腦系統分析師,1、資料庫維護/2、開發智慧製造應用大數據分析演算法與功能模組/3、與系統團隊合作將功能模組整合成為整體解決方案/4、配合產業需求進行分析服務診斷/5、具大數據分析經驗者,1人,2年以上,大學以上,統計學相關/一般數學相關/數理統計相關,None,None,,,,6~10人應徵,121.5586686,25.0324168
wjcsmhk,5jtrd,客群數據分析人員(凱基證券),待遇面議,0,0,券商後線人員/財務分析／財務人員/統計精算人員,資料科學與分析:大數據與Fintech應用、建立需求分析與預測、名單控管.產出、活動績效追蹤。報表開發與管理、大數據趨勢、商情追蹤、拓展新非結構性資料之蒐集應用,1人,3年以上,大學、碩士,商業及管理學科類/數理統計相關/財稅金融相關,None,None,,,"1.對資料分析工具如SQL, R, Python, SAS等有實務經驗佳。 2.對分析工作有高度熱忱，具耐心與注重細節，能透過資料尋找問題，發掘商機。 3.思考邏輯清晰、分析能力強，具簡報提案技巧且擅長視覺化圖表之分析工具使用。 4.熟悉金融業客戶分群、消費者行為、資料科學、大數據趨勢、Fintech應用...等領域 5.其他： (1)	工作效率高，能自我激勵。 (2)	具獨立作業及細節執行力，具表達及溝通能力。 (3)	能了解並以分析結果輔助業務策略發展，重視團隊精神。 具信託、保險相關、專案管理相關證照佳",11~30人應徵,121.5198716,25.0421407
