公司代碼,工作代碼,工作名稱,工資待遇,工資待遇(最低),工資待遇(最高),工作性質,工作敘述,需求人數,經驗要求,學歷要求,科系要求,語文條件,語言能力,擅長工具,工作技能,其他條件,應徵人數,經度,緯度
10whcigo,6gamv,新光人壽-資料工程師(數據分析、資料倉儲、ETL)(有相關經驗、證照者從優核敘),"月薪36,000~50,000元",36000,50000,資料庫管理人員/市場調查／市場分析/統計精算人員,"新光人壽相信資訊科技是企業競爭力的重要基石，在資訊科技的投資上不遺於力，因此E化在業界長久以來都屬於領先的一群，面對數位金融3.0數位創新的時代，新光人壽更擬定短中長期計畫積極建構全方位的數位金融平台，打造創新的數位保險服務，相關計畫包含：
-電子商務平台
-數位智能客服中心
-IoT及FinTech於保險領域的應用
-全方位銷售及客戶服務的行動應用開發
-運用Big Data數據分析與資料模型，以發掘更多客戶需求與服務創新方式
-打造以使用者體驗(UX)為中心的全新數位通路

誠摯邀請對資訊科技有熱情的您一起加入我們共同學習與成長

主要工作內容：
1.開發大數據資料蒐集、清洗及邏輯處理程式。
2.管理大數據資料倉儲與應用平台(如：資料倉儲、Hadoop平台、商業智慧工具)。

歡迎各方好手加入(文字探勘、DW、Hadoop分析平台)",1人,不拘,大學、碩士,資訊工程相關/資訊管理相關/數理統計相關,None,None,Data Modeling/Informatica/MS SQL/Data Marts/SAS,資料庫系統管理維護/資料庫程式設計/資料庫軟體應用,"1. 大學以上統計或資訊相關科系所畢業。 2.對資料倉儲、商業智慧分析平台、Hadoop應用開發有高度興趣。 3.熟悉Linux環境、SQL、Stored Procedure、DW、SAS Base者佳。  4.熟悉資料庫之SQL語法及資料抽取/清理/轉換/載入…等ETL流程佳。 5.具團隊合作精神、工作態度積極、負責，能配合公司規定。 6.無經驗者，月薪36,000元起，視學經歷、工作年資、專業證照等向上核敘。",11~30人應徵,121.5595451,25.0498891
grvyivs,69hr3,RF03-蛋雞飼養管理人員 ( 台南官田，關係企業 : 瑞福 ),"月薪24,000~30,000元",24000,30000,一般動物飼育工作者,1.	每日雞舍環境清潔整理/2.	每日雞舍狀況及數據回報(例溫度/通風/濕度/死雞數量/光照/雞飲水與吃料等等)/3.	蛋雞飼養工作，雞舍各項防疫工作及配合各項指派工作/4.	有時需配合夜間入雞工作/,5~10人,不拘,高中以上,,None,None,,牧場經營管理/畜產運銷作業/禽畜保健衛生/營養與飼料相關知識/注射預防及動物保健/動物保健衛生常識,"吃苦耐勞,配合度佳,態度積極,學習能力佳,可適應雞場工作環境。 非相關科系，對於雞隻飼養工作有興趣者。 具備蛋雞飼養經驗者尤佳。",0~5人應徵,120.3550808,23.1948768
cnljxkw,4zebb,專案工程師/專案經理(宜蘭),"月薪30,000~40,000元",30000,40000,環境工程人員 / 工程師,"執行宜蘭環保局專案計畫，派駐於宜蘭環保局，工作說明如下：
1.善用office文書軟體，需撰寫報告、製作簡報及分析數據。
2.蒐集文獻資料及研究分析。
3.配合完成合約工項與主管交辦事項，協助團隊執行相關作業。
4.會議規劃及辦理。
",1人,不拘,大學、碩士,環境工程相關/其他工程相關,None,None,Windows 7/Excel/PowerPoint/Word,文書處理軟體操作/簡報軟體操作,須具大學以上理工相關科系學歷。 ,0~5人應徵,121.8050125,24.6887633
2kmqv0o,73pcq,研發替代役-X光散射繞射研究人員,待遇面議,0,0,物理相關研究員/化學相關研究員/化工化學工程師,1. 新技術之軟硬體開發。/2. 支援BL13A生物用戶進行實驗/3. 製備各種生物膜樣品。/4. 進行X光散射/繞射與吸收光譜等實驗並進行數據分析。/5. 協助實驗室設備維護更新。/6. 負責實驗室管理。,1人,不拘,碩士以上,,None,None,,,計畫內容: 1. 發展X光散射技術，用來決定溶液中生物膜微胞的結構，研究溶液中生物分子，如蛋白質、膽固醇等，與生物膜的作用。 2. 發展掠角X光散射/繞射技術，用來決定多片層微胞樣品的三維結構，進一步研究以生物膜結構變化所媒介的重要生物現象。 3. 協助BL13A光束線經理支援用戶進行實驗。 4. 維護及更新BL13A實驗站之軟硬體，使其能配合新技術；並進行實驗站之自動化，提高實驗效率。 5. 在TPS小角度散射光束線進行單層脂質雙層膜的散射實驗。 專長需求: 1. 物理、化學、生物或理工相關領域碩博士。 2. 熟悉電腦軟硬體操作。,0~5人應徵,120.993378,24.781086
1a2x6bl2ui,6v8b2,維運工程師,"月薪38,000元以上",38000,9999999,網路管理工程師/系統維護／操作人員/資訊設備管制人員,"1. 監控平台的數據觀測及告警通知。 
2. 監控平台的定期數據報表產出與資料匯整。 
3. 按照操作手冊與規範進行網路與系統異常問題排除。 
4. 按照問題通報流程進行通報機制執行與問題追蹤。 
5. 雲端服務、虛擬化設備與CDN架構配置與管理。 
6. 域名相關的配置與管理。 
7. 其他主管交辦事項 

須配合輪班，有輪班津貼。 
休假：當月週六與週日天數+國定假日 (排假制/非週休) ",不限,2年以上,專科、大學、碩士,,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Linux,,1.具有本職務相關類型之工作經驗者佳。  2.需具備良好的溝通表達能力與正常人的抗壓性。  3.具備網路與系統相關管理證照者佳(CCNA、MCSA、RHCE、LPIC)。,0~5人應徵,120.6364943,24.1644631
1a2x6bkbd0,6u9t6,營銷/行銷人員（台北）,"月薪30,000~40,000元",30000,40000,其他客戶服務人員,"1.專案文檔撰寫/2.客戶服務/3.理財APP使用頁面提升品質計畫/4.具財經,證券經驗者尤佳/5.分析師、專家文章及影音上架到APP/6.測試APP股票報價數據/7.教育訓練-新產品或新功能教育訓練",1~2人,不拘,專科、大學,,None,None,Excel/PowerPoint/Word,,具金融產業經驗，證券產業經驗尤佳。,0~5人應徵,121.5494912,25.0580415
at1qym8,70zvi,南仁湖企業-N商場營運主任/副主任(義大醫院美食廣場),"月薪32,000~35,000元",32000,35000,店長／賣場管理人員/經營管理主管,1.負責賣場門市營運管理。/2.負責賣場與客戶關係的建立與維繫。/3.制訂商品的價格策略。/4.執行進銷貨分析。/5.規劃、協調廣告活動和促銷宣傳。/6.商場巡店事務執行管理/7.報表製作及一般行政事業執行/8.營業數據分析/9.專櫃招商管理,1~2人,3年以上,高中、專科、大學、碩士,,None,None,,,1.需有食品衛生安全概念(無經驗，公司可培訓) 2.熟OFFICE,0~5人應徵,120.3643555,22.7659067
1a2x6bl9s5,6zx8h,（農場事業處）雲平台開發主管,待遇面議,0,0,Internet程式設計師/其他資訊專業人員,"主要參與雲端、大數據及手機與智能設備平台研發,/- 建立畜牧業科技化運用的雲端大數據平台, 提供用戶雲端前/後台管理功能./- 雲平台之佈署與維運./- 手機應用App開發./- 智能設備App開發",1人,5年以上,大學,,None,None,Linux/Windows Server 2008/Android/Windows Server 2012/ASP.NET/C#/Java/Visual Studio/MS SQL/MySQL/hadoop/AWS/VBScript,,"- 需要 - AWS、Azure、阿里雲或百度雲管理經驗, 熟悉IaaS、PaaS、SaaS架構. - 具Virtualization、Kubernetes、Networking、Storage、Database等技術維運經驗. - 熟悉Linux、Windows的服務建置, Scripting開發與異常排除能力. - 熟悉Hadoop、Spark相關服務與架構. - 資料庫: MS SqlServer, mySql, MongoDB - 程式語言:Asp.Net c#, Asp.Net MVC, Java, Sql - 開發工具: Visual Studio 2015/Xamarin, Android Studio - 手機: Android、iOS app.",0~5人應徵,121.5656774,25.0802721
13u53trc,71swf,文案內容行銷,"月薪30,000~42,000元",30000,42000,網站行銷企劃/廣告文案／企劃/活動企劃人員,"‧	議題操作運用，各類文案撰寫（廣告、社群、新聞、專題…）
‧	Chat Bot腳本企劃編輯
‧	社群日常運營、維護及管理，提升社群活躍度
‧	善用數據輔助，依照專案需求，企劃最佳引導受眾的文案策略。 
‧	不斷優化手法，趨近或提昇目標與成效。  

‧	加分技能：各類簡易社群素材設計製作；數據分析；樂於接觸各類行銷工具

",1人,不拘,專科以上,,None,None,,,,11~30人應徵,121.5562783,25.0412099
1a2x6bi34e,70bo2,專案行政專員/專案企劃助理,"月薪26,000~40,000元",26000,40000,行政人員/行銷企劃助理/市場調查／市場分析,我們需要有熱忱，穩定度配合度高，願意學習的夥伴/工作內容為://1.數據資料搜集及匯整 /2.市場訊息調查與分析 /3.製作研究報告與PPT簡報  /4.文件檔案資料處理、轉換及整合工作/5.做事細心，勤奮刻苦，有進取心者佳/6.主管交辦事務。/,不限,不拘,不拘,,None,None,Excel/PowerPoint/Word,文書處理╱排版能力/報表彙整與管理/文件檔案資料處理、轉換及整合工作/市場調查資料分析與報告撰寫,,11~30人應徵,120.684873,24.1674817
1a2x6bkykg,6p5b2,門市營運企劃人員,"月薪35,000~45,000元",35000,45000,經營管理主管/行銷企劃主管/店長／賣場管理人員,　/未來您會需要統整 12 間門市的營運數據資料//因此您會需要擁有良好的 Office 技能與跨部門溝通的能力//我們需要您有邏輯性的編排報表以提供主管查閱//並且需要您能夠獨立發想門市行銷企劃的活動與執行//歡迎您至我們的實體門市參觀，也可以透過網站認識我們//https://www.sofydog.com/index1.php//https://zh-tw.facebook.com/SofyDOG2006//本公司職缺為每日更新，以利求職者第一時間看到公司資訊//由於大家對於寵物的生活意識大躍進，因此公司擴編強力招募中！//若您對寵物產業有極大的興趣，快快加入我們！///【工作內容】//1. 門市業績成效分析 (日、月、季、年度 )/2. 門市商品、人員銷售狀況、營運數據分析/3. 利用數據資料做決策和優化/4. 門市活動規劃並執行//【技能】//1. 跨部門溝通/2. 精通 Office 軟體/3. 獨立規劃門市活動企劃/4. 學習力強 (會有一系列的寵物食品知識等著你帶走 )//【加分】//1. 貓奴、犬控/2. 具零售經驗/3. 喜愛研究優質寵物飼料與商品/4. 市場資訊收集分析經驗//【上班地點】//以辦公室為主，除非有門市活動需現場指導//如活動遇假日，可於平日補休或申請加班費/　,1人,2年以上,專科以上,,None,None,,,本身有養寵物者優先錄取～,11~30人應徵,121.4853103,24.9962178
b7j4cx4,6jbyg,資深遊戲開發工程師(Node.JS) 工作地點：台北/台中,"月薪60,000元以上",60000,9999999,軟體設計工程師,"1. 後端使用Node.js開發遊戲後端服務
2. 前端使用Vue.js開發系統管理後台
3. 熟悉MySQL, MongoDB, Redis等數據庫開發
4. 有良好的團隊合作能力，善於溝通，工作自主驅動
5. 對新技術敏感，樂於嘗試，勇於挑戰",2~3人,5年以上,專科以上,資訊管理相關/資訊工程相關/電機電子工程相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,"1. 5年以上後端開發經驗，熟悉遊戲後端服務 2. JavaScript、TypeScript基本概念清晰，瞭解熟練ES6/ES7新特性 3. 熟悉常用網路通訊協定，如TCP/IP, HTTP 4. 孰悉MySQL之資料庫相關物件異動及SQL指令 5. 熟悉非同步程式設計，熟悉pomelo者優先  6. 具備分散式系統設計和開發經驗，熟悉敏捷開發流程熟悉常用設計模式 7. 具備獨立開發能力(架構設計/開發除錯/效能調整)  8. 熟悉 Google Cloud / AWS / Azure 任一公有雲架構",0~5人應徵,120.68302,24.1594609
1a2x6bl8es,7289d,Customer Service Manager,待遇面議,0,0,專案管理主管/產品管理師/軟體相關專案管理師,"1. 需具備從0到1建立客服團隊的能力；
2. 設計客服輪班編制，對每一班的服務品質與執行效率負責；
3. 針對客服團隊工作職責、日標、工作步驟、問題提交層級進行拆解、建立完整SOP流程；
4. 建立一般用戶與VIP用戶服務體系，提高用戶體驗及用戶留存率；
5. 負責匯總用戶反饋數據，定期為總管理部門提供數據參考；
6. 制定團隊KPI考核標準；
7. 對各團隊組長進行指導，帶領團隊完成服務績效指標；
",1~2人,5年以上,不拘,,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,Excel,工作任務╱業績項目分配/督導人員工作績效/協商談判能力/部門績效目標管理/客戶資料更新維護/客戶情報蒐集/客訴案件處理/產品介紹及解說銷售,1. 需具備英文書寫與溝通能力； 2. 具備越南文或泰文能力尤佳； 3. 具備API 串接客戶服務的經歷尤佳； 4. 有東南亞客戶服務管理經驗尤佳；   ,6~10人應徵,121.5433783,25.0249441
d2iahgo,71sij,支援服務工程師/資深工程師(內湖),待遇面議,0,0,軟體設計工程師/Internet程式設計師/MIS程式設計師,"【工作內容】
1. CM，STB管理系統開發實作
2. 盒端資料萃取與建置數據資料庫

【必需技能】
1. 熟悉PHP，Laravel框架，API概念
2. 熟悉SQL語法（MySQL,SQL server）
3. 熟悉LNMP、LAMP架設（centos、ubuntu），Linux 指令嫻熟

【其他條件】
1. 基礎網頁語法，javascript，jquery，ajax",1人,3年以上,專科、大學,,None,None,,網路程式設計,,0~5人應徵,121.5726099,25.0781801
7iw63q8,730ds,誠徵-運輸主任(高雄岡山),"月薪25,000~28,000元",25000,28000,運輸物流類主管/運輸交通專業人員/儲備幹部,1、車輛路線編排調度/2、配送品質監控管理/3、運輸系統之數據彙整分析，製作報表/4、其他行政作業/無經驗可，願意接受公司長期培訓者佳。,1~2人,不拘,高中以上,,None,None,Excel/Outlook/PowerPoint/Word,,1、對物流運輸行業有興趣者。 2、具領導才能佳。 3、可獨立作業者佳。,0~5人應徵,120.2858846,22.8016472
18pcqfps,72yzk,高級業務專員(台北)-S102,"月薪33,000~55,000元",33000,55000,國內業務人員,"1.資訊軟硬體系統整合專案銷售
2.資訊安全系統銷售
3.智慧製造等AI產業應用銷售
4.SAP ERP及數據分析企業智慧運營銷售
5.客戶關係經營",1人,1年以上,大學,,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Excel/Outlook/PowerPoint/Word,,1.具備資訊系統基本概念 2.對業務工作充滿熱情,6~10人應徵,121.5735621,25.0765969
1a2x6bjjs7,71y4s,社群行銷企劃-  Social marketing,"月薪30,000~45,000元",30000,45000,網站行銷企劃/廣告企劃主管/廣告文案／企劃,"先來看看我們的作品吧！
www.silent.com.tw

＊＊＊第一階段為線上企劃提案，通過篩選後會通知第二階段面試＊＊＊

1.網路社群操作推廣經營、Facebook粉絲團、LINE@推廣經營與互動。
2.網站活動之發想，規劃、執行、效益分析與建議。
3.內部社群文案撰寫，數據分析與整理。
4.監看社群議題、粉絲意見處理及數據分析。
5.創造網路議題，引導參與人員發表意見或心得。
6.網路廣告投放及效益分析

若你喜歡整合行銷（傳統 x 數位 x 社群) ！
也具備一定的熱情並喜歡動腦，歡迎有目標的你加入我們。",不限,3年以上,不拘,,None,None,,,,11~30人應徵,121.568586,25.05108
