公司代碼,工作代碼,工作名稱,工資待遇,工資待遇(最低),工資待遇(最高),工作性質,工作敘述,需求人數,經驗要求,學歷要求,科系要求,語文條件,語言能力,擅長工具,工作技能,其他條件,應徵人數,經度,緯度
76sfnje,742q1,(科政中心)資料科學程式設計師10927,"月薪36,050元以上",36050,9999999,Internet程式設計師,"1.大數據資料探勘及分析
2.MVC框架程式設計開發
3.協助科技政策研究相關資訊系統建構與管理、執行研究計畫相關資訊系統需求分析設計、開發測試與維護及處理臨時交辦事宜",1人,不拘,碩士以上,,None,None,,,科系要求： 理工、商管 工作技能/專長： 1.熟悉資料探勘(Data Mining)、機器學習(Machine Learning)和人工智慧(AI)技術 2.須具備(SQL語法)及(MVC/Spring、Hibernate)撰寫能力，具三年以上工作經驗為佳。 3.熟Java/ASP.NET(C#)/Python/PHP 4.熟MySQL/MS-SQL或Oracle資料庫佳 其他要求： 1.面試時請攜帶：具代表性之資料分析、程式開發或GitHUB專案，進行15分鐘DEMO/簡報,0~5人應徵,121.5419672,25.0249028
154zrwlk,746ff,資深資料工程師Senior Data Engineer_0062*,待遇面議,0,0,演算法開發工程師/資料庫管理人員,"1.大數據平台(gcp)維護及開發
2.Develop, operate, and monitor ETL for data collection, cleansing, processing, storage, and analytics
3.Automate common data process tasks and support data analysis tasks
4.Write documents for architecture design and implementation",1人,2年以上,大學以上,,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,"· 熟悉git version control/CICD on Big data system(必要)  · 具有大數據平台的開發經驗：Hadoop、Spark、Kafka 等。 · 有關聯式 SQL 和 NoSQL 數據庫的經驗 · 在大數據平台上的分析視覺化工具架設經驗 (e.g. Tableau server, Flurry, ) · 具有支持數據轉換、數據結構、依賴關係和工作負載管理的經驗 · 具有雲端服務的開發經驗 (e.g. AWS/GCP/Azure)",0~5人應徵,121.5764629,25.0717236
1a2x6bl2dc,73fk2,SSD 資料安全韌體工程師(台北),待遇面議,0,0,韌體設計工程師,"1.資料安全韌體撰寫
2.MCU Firmware Programming
3.數位簽章
4.Secure Coding",1人,3年以上,大學,資訊工程相關/電機電子工程相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,C++、Python、密碼學演算法、科技英語文獻閱讀能力,0~5人應徵,121.571098,25.0777451
g9uktns,72pj2,【技術/製造】CNC專案資料管理師,"月薪28,000~45,000元",28000,45000,行政人員/助理工程師/工程助理,"1.新產品開發專案規劃與進度掌控
2.新產品工程問題追蹤
3.工程、治具、NPI進度追蹤與協助
4.現場數量異常稽核 品質稽核
5.主管交辦事項",1~11人,不拘,高中以上,,None,None,PowerPoint/Excel/Word,,※具有執行力、判斷力及耐心,0~5人應徵,121.4265105,25.0076979
1a2x6bl2dc,72dbb,SSD 資料安全韌體工程師(新竹),待遇面議,0,0,韌體設計工程師,"1.資料安全韌體撰寫
2.MCU Firmware Programming
3.數位簽章
4.Secure Coding",1人,3年以上,大學,資訊工程相關/電機電子工程相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,C++、Python、密碼學演算法、科技英語文獻閱讀能力,0~5人應徵,121.022745,24.7692246
76sfnje,74o7h,(科政中心)資料科學程式設計師10929,待遇面議,0,0,Internet程式設計師,"1.大數據資料探勘及分析
2.MVC框架程式設計開發
3.協助科技政策研究相關資訊系統建構與管理、執行研究計畫相關資訊系統需求分析設計、開發測試與維護及處理臨時交辦事宜",1人,不拘,博士,,None,None,,,科系要求： 理工、商管 工作技能/專長： 1.熟悉資料探勘(Data Mining)、機器學習(Machine Learning)和人工智慧(AI)技術 2.須具備(SQL語法)及(MVC/Spring、Hibernate)撰寫能力，具三年以上工作經驗為佳。 3.熟Java/ASP.NET(C#)/Python/PHP 4.熟MySQL/MS-SQL或Oracle資料庫佳 其他要求： 1.面試時請攜帶：具代表性之資料分析、程式開發或GitHUB專案，進行15分鐘DEMO/簡報,0~5人應徵,121.5419672,25.0249028
wjct48g,6k5fs,"資料科學工程師（微服務產品開發）- 資料科學實驗室  (數數發中心, DDT)","月薪30,000~90,000元",30000,90000,軟體設計工程師/其他資訊專業人員,"我們 資料科學實驗室 的文化

- 我們樂於互相分享，也樂於互相學習
- 我們有主動發現問題，主動解決問題的特質
- 我們的討論風氣興盛，沒有階級之分


我們 資料科學實驗室 正在尋找的數據工程專家，將負責數據工程相關的創新技術研究、概念性驗證與程式開發，依照個人技術能力與發展安排，可能包含但不限如下相關內容：

- 微服務及 container 等相關創新技術研究
- 基於微服務及 container 技術，研發創新產品
- 基於微服務及 container 技術，參與專案開發
- 產品開發，推廣及後續維護
- 與數據分析師合作，進行機器學習、深度學習與統計分析模型最佳化的研究與開發",1~5人,不拘,大學以上,資訊工程相關/數理統計相關/數學及電算機科學學科類,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,"[ 必要條件 ] - 具 2 年以上 Python 軟體開發經驗 - 熟悉微服務及 container 相關技術並有實際開發經驗 - 熟悉分散式 container 管理框架，如 kubernetes 或 openshift - 熟悉分散式 cluster 服務，如 Hadoo，ELK，MongoDB 等並有架構服務經驗 - 了解網路通訊相關協定(e.g. TCP/IP, HTTP, DNS) - 熟悉 Linux 系統  - 熟悉 Git 版控機制 [ 加分條件（非必要）] -  具軟體產品開發經驗 -  具備其他分散式架構知識，如 Hive, Teradata, Redis -  熟悉大數據資料處理，如 Spark, Yarn, Hive -  具備 CI/CD 經驗並熟悉工具，如 Jenkins, Ansible -  具備基本機器學習或深度學習相關知識 -  熟悉 Scrum 等敏捷式開發模式 -  善橫向跨部會溝通，表達能力佳 -  具專案管理能力",0~5人應徵,121.5691563,25.0382555
10whcigo,6gamv,新光人壽-資料工程師(數據分析、資料倉儲、ETL)(有相關經驗、證照者從優核敘),"月薪36,000~50,000元",36000,50000,資料庫管理人員/市場調查／市場分析/統計精算人員,"新光人壽相信資訊科技是企業競爭力的重要基石，在資訊科技的投資上不遺於力，因此E化在業界長久以來都屬於領先的一群，面對數位金融3.0數位創新的時代，新光人壽更擬定短中長期計畫積極建構全方位的數位金融平台，打造創新的數位保險服務，相關計畫包含：
-電子商務平台
-數位智能客服中心
-IoT及FinTech於保險領域的應用
-全方位銷售及客戶服務的行動應用開發
-運用Big Data數據分析與資料模型，以發掘更多客戶需求與服務創新方式
-打造以使用者體驗(UX)為中心的全新數位通路

誠摯邀請對資訊科技有熱情的您一起加入我們共同學習與成長

主要工作內容：
1.開發大數據資料蒐集、清洗及邏輯處理程式。
2.管理大數據資料倉儲與應用平台(如：資料倉儲、Hadoop平台、商業智慧工具)。

歡迎各方好手加入(文字探勘、DW、Hadoop分析平台)",1人,不拘,大學、碩士,資訊工程相關/資訊管理相關/數理統計相關,None,None,Data Modeling/Informatica/MS SQL/Data Marts/SAS,資料庫系統管理維護/資料庫程式設計/資料庫軟體應用,"1. 大學以上統計或資訊相關科系所畢業。 2.對資料倉儲、商業智慧分析平台、Hadoop應用開發有高度興趣。 3.熟悉Linux環境、SQL、Stored Procedure、DW、SAS Base者佳。  4.熟悉資料庫之SQL語法及資料抽取/清理/轉換/載入…等ETL流程佳。 5.具團隊合作精神、工作態度積極、負責，能配合公司規定。 6.無經驗者，月薪36,000元起，視學經歷、工作年資、專業證照等向上核敘。",11~30人應徵,121.5595451,25.0498891
wjct48g,6ywxw,"資料科學工程師 產品前端研發 -- 資料科學實驗室 (數數發中心, DDT)","月薪30,000~90,000元",30000,90000,軟體設計工程師,"我們 資料科學實驗室 的文化

- 我們樂於互相分享，也樂於互相學習

- 我們有主動發現問題，主動解決問題的特質

- 我們的討論風氣興盛，沒有階級之分

我們 資料科學實驗室 正在尋找的 產品前端工程師，負責為軟體產品或專案開發前端使用者介面，協同進行數據工程及數據分析相關的創新技術研究、概念性驗證與程式開發，依照個人技術能力與發展安排，可能包含但不限如下相關內容：

- 依軟體產品特性開發使用者介面

- 與後端工程師和產品工程師合作制訂前端框架

- 參與或推動數據的 opensource 專案",1~2人,3年以上,大學以上,,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,"[ 必要條件 ]  1. 熟悉Javascript或TypeScript。  2. 熟悉HTML, CSS/SASS  3. 具有至少3年以上React開發Web/Native相關工作經驗。  4. 具有至少2年以上UIUX設計相關工作經驗，有過人的美感和創新的點子。  5. 具有RWD網頁設計與介面流程規劃、切版建置、網頁互動效果，熟悉HTML、CSS3、Web guideline。  6. 熟悉套件/任務管理工具：NPM, Webpack 等。  7. 具備多層式網路軟體架構開發/實作/除錯經驗以及及非同步 API 串接經驗 。  8. 具備良好的邏輯思維與溝通協調能力，能與合作夥伴有效的溝通。  9. 作品集/Github/Gitlab等連結  [ 加分條件（非必要）]  1.熟悉Sketch、Adobe系列、Protopie…等工具，產出wireframe與prototype，完成原型且有效率的溝通設計想法。  2. 具備靜態網站架構優化設計及實作經驗(如：CDN 的運用, 資源最小化及壓縮, 反向代理...等)。  3. 具備end to end 自動化測試經驗。  4. 具備APP設計規劃經驗，了解iOS、Android的design guideline。",0~5人應徵,121.5691563,25.0382555
wjct48g,743o2,"資料科學工程師 (Data R&D Engineer) -- 台中 資料科學實驗室 (數數發中心, DDT)","月薪30,000~90,000元",30000,90000,軟體設計工程師/演算法開發工程師,"[我們的團隊介紹與文化特色]

- 我們是集團於中部研發中心的資料科學團隊，特別針對中部的資料科學人才好手提供優質的新創研發環境

- 有實驗室的理論研究精神，也有業界專業務實落地的應用

- 從各個產業的生活化資料上，使用高度自動化的人工智慧與資料科學技術，讓客戶體驗最佳化

- 從專案的開發來接地氣，從新技術的研究來保持創新，從產品的發展來規模化

- 擁抱雲端技術，更重視開放的資料技術

- 重視由下往上的團隊溝通，在自律的前提下享受自由的研發風氣

- 重視團隊與個人在創新與技術深入成長的平衡發展

- 在技術研究目標上，採有彈性的團隊模式規範，讓創新與成果導向可以並重平衡

- 開放與分享是我們的基因，要有主動挖掘問題、主動解決問題的能力，也要有主動分享、傳承學習並追求進步的特質條件

- 進步快速的團隊，能夠因應組織任務需求來調整工作內容


[工作內容]

我們 台中 資料科學研發團隊 正在尋找資料工程菁英，歡迎剛畢業或有相關工作經驗的朋友來挑戰。這個職位將負責資料工程相關的創新技術研究、概念性驗證與程式的開發，依照個人技術能力與發展安排。職務可能包含但不限如下相關內容：

- 結構/半結構/非結構資料的分散式 ETL：使用 Kafka、Spark、Docker、Elasticsearch 以及雲端或其他 opensource 環境來進行開發

- 大量且彈性的 data pipeline 的設計與開發

- 與資料科學家合作，協助業務團隊解決商業命題：進行機器學習、深度學習、模型服務與統計分析模型最佳化自動化的研究與開發

- 產品開發、專案開發、以及相關的推廣與後續維護",不限,不拘,大學以上,資訊工程相關/數理統計相關/數學及電算機科學學科類,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,Linux/Git/Python,,"[必要條件]  - 主動性高、能適應變化快速的技術與環境、愛好自我學習、探索與分享的態度  - 具 Python 軟體開發經驗，並熟悉相關 IDE 開發環境運用  - 熟悉 SQL 的使用與概念  - 熟悉 Linux 系統開發環境  - 熟悉 Git 版控機制  [加分條件（非必要）]  - 具備軟體產品開發經驗  - 具 Scala 軟體開發經驗，並熟悉相關 IDE 開發環境運用  - 熟悉或有 Spark 經驗者，如：Dataframe、Structured Streaming、GraphFrames  - 熟悉或有大量資料處理的 Opensource 經驗者，如 Spark、Hadoop、Hive、Kafka、Elasticsearch、MongoDB、Radis 或是其他相關生態系服務  - 具備 streaming data 處理經驗並熟悉串流資料處理工具，如 Kafka, Flink, Spark Structured Streaming  - 熟悉或有微服務及 API 經驗者，如：Ngnix、Flask、Docker、Kubernetes、Openshift  - 習慣 DevOPS 文化或熟悉 SRE 者，如：CICD、自動化測試環境工具、壓力測試與評估、自動化監控與效能調教  - 熟悉或有機器學習的預測模型或開發服務的經驗者，如：TensorFlow、Pytorch、Kubeflow  - 熟悉網路通訊相關協定與應用，如：TCP/IP、Routing、DNS、HTTP、Web Services、Web Services Security  - 有網路爬蟲設計與開發經驗者  - 具備基礎資料分析概念  - 具備圖學資料處理經驗  - 具備基本機器學習或深度學習相關知識  - 熟悉 Scrum 等敏捷式開發模式  - 善橫向跨部會溝通，表達能力佳  - 具專案管理能力",11~30人應徵,120.6794994,24.1372628
wjct48g,74lxc,"資深資料科學工程師 (Sr. Data R&D Engineer) -- 台中 資料科學實驗室 (數數發中心, DDT)","月薪30,000~90,000元",30000,90000,軟體設計工程師/演算法開發工程師,"[我們的團隊介紹與文化特色]

- 我們是集團於中部研發中心的資料科學團隊，特別針對中部的資料科學人才好手提供優質的新創研發環境

- 有實驗室的理論研究精神，也有業界專業務實落地的應用

- 從各個產業的生活化資料上，使用高度自動化的人工智慧與資料科學技術，讓客戶體驗最佳化

- 從專案的開發來接地氣，從新技術的研究來保持創新，從產品的發展來規模化

- 擁抱雲端技術，更重視開放的資料技術

- 重視由下往上的團隊溝通，在自律的前提下享受自由的研發風氣

- 重視團隊與個人在創新與技術深入成長的平衡發展

- 在技術研究目標上，採有彈性的團隊模式規範，讓創新與成果導向可以並重平衡

- 開放與分享是我們的基因，要有主動挖掘問題、主動解決問題的能力，也要有主動分享、傳承學習並追求進步的特質條件

- 進步快速的團隊，能夠因應組織任務需求來調整工作內容

[工作內容]

我們 台中 資料科學研發團隊 正在尋找資深資料工程菁英，歡迎在資料的領域具備深度與廣度的朋友來挑戰。這個職位將負責資料工程相關的創新技術研究、概念性驗證與程式的開發，依照個人技術能力與發展安排。職務可能包含但不限如下相關內容：

- 分散式結構/半結構/非結構資料 ETL：使用 Kafka、Spark、Docker、Elasticsearch 以及雲端或其他 opensource 環境來進行開發

- 大量且彈性的 data pipeline 的設計與開發

- 與資料科學家合作，協助業務團隊解決商業命題：進行機器學習、深度學習、模型服務與統計分析模型最佳化自動化的研究與開發

- 產品開發、專案開發、以及相關的推廣與後續維護",不限,5年以上,大學以上,,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,Linux/Git/Python,,[必要條件]  - 主動性高、能適應變化快速的技術與環境、愛好自我學習、探索與分享的態度  - 具 Python 軟體開發經驗，並熟悉相關 IDE 開發環境運用  - 熟悉 SQL 的使用與概念  - 熟悉 Linux 系統開發環境  - 熟悉 Git 版控機制  - 對 Spark 架構有概念，並有 Spark 相關應用開發經驗，如：基於 Dataframe、Structured Streaming、MLlib 或是 GraphFrames 的開發  - 對 AWS、GCP 或 Azure 的資料服務架構有基本概念  - 對任一 Python Web Server framework 有經驗，如：Flask、Django 或其他  - 習慣 DevOPS 文化或熟悉 SRE 者，如：CICD、自動化測試環境工具、壓力測試與評估、自動化監控與效能調教  - 熟悉 Docker 的使用經驗者  - 喜歡 OpenSource 的生態，並有實際資料的應用專案或產品的開發與落地經驗成果者  - 熟悉網路通訊相關協定與應用，如：TCP/IP、Routing、DNS、HTTP、Web Services、Web Services Security   [加分條件（非必要）]  - 具備軟體產品開發經驗  - 具 Scala 軟體開發經驗，並熟悉相關 IDE 開發環境運用  - 熟悉或有大量資料處理的 Opensource 經驗者，如 Spark、Hadoop、Hive、Kafka、Elasticsearch、MongoDB、Radis 或是其他相關生態系服務  - 熟悉或有微服務及 API 經驗者，如：Ngnix、Flask、Kubernetes、Openshift  - 熟悉或有機器學習的預測模型或開發服務的經驗者，如：TensorFlow、Pytorch、Kubeflow  - 有網路爬蟲設計與開發經驗者  - 有區塊鏈的概念或實際相關開發經驗者  - 具備基礎資料分析概念  - 具備圖學資料處理經驗  - 具備基本機器學習或深度學習相關知識  - 熟悉 Scrum 等敏捷式開發模式  - 善橫向跨部會溝通，表達能力佳  - 具專案管理能力,0~5人應徵,120.6794994,24.1372628
1a2x6bj87f,4h3dg,【IT】ERP系統工程師 (資料庫程式開發),"月薪37,000~100,000元",37000,100000,資料庫管理人員/軟體設計工程師/電腦系統分析師,"1、內部報表及網頁程式開發(ASP.net)。
2、後端資料庫程式開發(Oracle)。",1人,2年以上,大學、碩士,資訊工程相關/工業工程相關/資訊管理相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,Windows 2000/Windows NT/ASP.NET/C#/Lotus Notes/Visual Basic/Access/MS SQL/Oracle/FrontPage/JavaScript/VBScript,,Develop / Maintain web report and dispatch systems,0~5人應徵,121.2507186,24.9690989
1a2x6bj92p,4owz9,Data Engineer-Hadoop Admin II 資料工程師(系統建置維護),待遇面議,0,0,系統維護／操作人員,1. CDH (Cloudera Distribution Including Apache Hadoop)安裝、設定與維護/2. Linux安裝設定/3. System Trouble Shooting/4. System Log Analysis/5. 具Atlassian Jira and Confluence 專案管理軟體使用經驗者佳,不限,3年以上,大學以上,資訊工程相關/電機電子工程相關,None,None,,,1. 追求真實 2. 自發 3. 自我精進,0~5人應徵,121.5432841,25.0306077
